#Field_number xki_field_center eta_field_center Mvlim alpha sigma
252 2.8702499999999995 -0.038250000000000034 -5.642926060405912 -0.6616093985796768 0.3608040397655196
253 -2.42625 -0.05374999999999999 -5.801306905696728 -0.6984152600619646 0.4354910733243251
1000000 1000000 1000000 1000000 1000000 1000000
255 -3.4325 0.0042500000000000315 -5.687143320627315 -0.6575806364108541 0.3689216939027607
256 1.91625 -0.012750000000000011 -5.88461297230826 -0.8814014767136604 0.3743491681631594
1000000 1000000 1000000 1000000 1000000 1000000
258 9.676 1.0382500000000001 -5.437456824735192 -0.5304809377270178 0.32977122026024097
259 -10.26775 1.1657499999999998 -5.526163107487167 -0.5120233570877825 0.3641420212507324
260 -9.277 1.017 -5.444660858803948 -0.48532311455560484 0.2510376178022805
261 7.73175 0.9005000000000001 -5.5232455489873145 -0.5975291505468043 0.3384141380408387
262 8.70275 1.0330000000000001 -5.511300839427693 -0.5750712880226 0.32656989305163114
263 -8.30575 1.01325 -5.639900483245683 -0.5532155873937039 0.22097729217238912
264 6.7620000000000005 0.8797499999999999 -5.570399546723181 -0.5784852422761779 0.3058196693603174
1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000
267 -7.335 1.0110000000000001 -5.606819687478409 -0.5385139870268478 0.26731027617130654
268 -6.3614999999999995 1.00875 -5.445081217935559 -0.5110314100633493 0.33576112409169795
269 5.8115000000000006 0.9734999999999999 -5.595155463974048 -0.5885492093052777 0.2924111765214343
270 -5.388749999999999 1.00625 -5.564473529342733 -0.5637559395396761 0.30294358091497336
271 4.835 0.968 -5.550726589692453 -0.5697030197357004 0.22105237860796054
272 -4.41675 1.004 -5.597837879235587 -0.5763950591363625 0.3576525432663808
273 4.0655 0.982 -5.629191360035925 -0.5976112299187261 0.31381386970233616
274 3.073 0.9682499999999999 -6.1014807966784055 -0.7547518856522261 0.346764424097632
275 2.08075 0.929 -5.947646088463074 -0.6992317572460375 0.38266962736941246
276 -1.4645 0.9192499999999999 -5.87388762083528 -0.7678054201910142 0.41960567690289363
277 -2.45375 0.953 -5.752509902600064 -0.7065608464414793 0.41729114898140135
278 -3.4445 1.00225 -5.7245198967775295 -0.604331348925096 0.314492076388219
1000000 1000000 1000000 1000000 1000000 1000000
280 9.60075 2.0355 -5.469755758169276 -0.5177427665471367 0.29895498230245315
281 -9.57475 2.0707500000000003 -5.500012868173749 -0.503833226295284 0.24111308596399805
282 7.667999999999999 1.903 -5.6427769068586615 -0.6012357016471904 0.3526499477637485
283 8.6365 2.03025 -5.572650352304464 -0.5680691779776352 0.3541336474903796
284 -8.6105 2.06225 -5.697195798993811 -0.5304729218402902 0.26233832830347037
1000000 1000000 1000000 1000000 1000000 1000000
286 -0.84275 1.50075 -5.956125396709084 -0.6346539531544925 0.32819002035194134
287 6.734249999999999 1.9367500000000002 -5.5707466818903955 -0.5793941966239685 0.2911254038550934
288 -7.6455 2.0525 -5.580654704647051 -0.5049669477855024 0.31196714473823295
289 -6.679749999999999 2.0445 -5.677905284355125 -0.5648497415181768 0.3081748469686153
290 5.773000000000001 1.977 -5.471662413105247 -0.5122696135491848 0.3294240080930937
291 -5.713749999999999 2.03625 -5.607341888220963 -0.5295150461895303 0.2502342135916691
292 4.99925 1.9965 -5.529548178511781 -0.5256951591845029 0.2635451071288502
293 -4.748 2.02825 -5.669746698275553 -0.6170148834705752 0.3655801585756106
294 4.03175 1.98825 -5.624895578748976 -0.5076150742121932 0.2757141404194975
295 3.0482500000000003 1.96425 -5.694894810262 -0.5332583305190662 0.2821038658486116
296 2.0657500000000004 1.92525 -5.989069424470332 -0.5920774116998048 0.3817943729842401
297 -1.8170000000000002 1.9252500000000001 -5.8517400297884485 -0.6610666533900728 0.361002784986032
298 -2.8000000000000003 1.96475 -5.720095955862917 -0.6721883293377685 0.34129381002127784
299 -3.78075 2.02 -5.777905054731138 -0.7668558294733602 0.367477038872255
300 9.52175 3.03375 -5.40111072042208 -0.509605732658054 0.3330960930883528
301 1.08475 2.2977499999999997 -6.5503144138303115 -0.6149037374561126 0.3012762037933692
302 -9.50925 3.1037500000000002 -5.631592502045812 -0.4726314991141337 0.2737105881572642
303 8.6365 3.04025 -5.660323987326902 -0.5544349054060683 0.22574713742374972
304 7.64475 2.90875 -5.5829140300323985 -0.5346494541880423 0.3181610946118174
305 -8.5395 3.0615 -5.682994874578782 -0.48061266146752407 0.2531376272018825
306 0.14875 2.4875 -6.458136924105911 -0.6701816925229752 0.2840381049597189
307 -0.82975 2.4975 -5.89206101403226 -0.586652302928215 0.33033880211269256
308 6.696000000000001 2.936 -5.573978870758821 -0.5222302726827752 0.4148149120559461
309 -7.58025 3.0515 -5.793506985018441 -0.5340921841897078 0.2899897100384003
310 -6.62325 3.0425 -5.711678333430838 -0.5074905946622507 0.3012715277636493
311 5.920999999999999 3.00325 -5.542803129408565 -0.5195571166100797 0.21133237015964645
312 -5.66525 3.0345 -5.889056661217164 -0.5510583092962824 0.23940599168861415
313 4.953250000000001 3.0095 -5.541179659779311 -0.5206608628701469 0.33388178656353
314 -4.705 3.026 -5.6814705058309665 -0.5896970527565611 0.3247789924364208
315 3.99825 2.99125 -5.644942093666067 -0.5578259558590252 0.2753448632325536
316 3.0214999999999996 2.956 -5.706222488462374 -0.5689429450989396 0.2077661023391787
317 2.04825 2.9227499999999997 -7.118515547298538 -0.6186767976011441 0.20436032559156014
318 -1.79875 2.9227499999999997 -5.838922326107594 -0.661816773131667 0.3223072918764704
319 -2.77325 2.9627499999999998 -5.84197102188178 -0.6192141583661329 0.2670768750004857
320 -3.74875 3.018 -5.705934563268298 -0.5614959065031601 0.30540485788500327
321 9.51125 4.04575 -5.663234593471131 -0.5122626879574002 0.2994398815273292
322 1.0775 3.2945 -6.286784621098262 -0.6140071238248574 0.353052722110161
323 -9.415500000000002 4.09875 -5.735050309356655 -0.5044899259341369 0.29765522078488577
324 7.6075 3.90725 -5.5603537865106505 -0.4877230690253388 0.33914554173370415
325 8.56275 4.03875 -5.685466129593702 -0.5228650194593351 0.25869654702702216
326 -8.45925 4.0600000000000005 -5.727736509358961 -0.4842917003895145 0.2630116047482435
327 0.14825 3.48675 -5.778408551564141 -0.5709669842905581 0.32120977719118643
328 -0.8212499999999999 3.4952500000000004 -5.824162158965855 -0.6283542798548917 0.30152034667729233
